ID,Education,educationText,Field2,fieldText2,Field,fieldText,profCode,postsecondary,STEM,FieldNew,FieldOld,fieldTextNew,row,col,professionExtra,proftext,profession,professionExtra2,professionExtra3,engineering
1,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,software,1,1,1,0
2,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,software,1,1,1,0
3,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,software,1,1,1,0
4,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,software,1,1,1,0
5,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
6,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
7,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
8,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
9,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
10,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
11,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
12,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
13,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
14,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
15,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
16,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
17,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
18,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
19,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
20,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
21,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
22,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
23,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
24,4,MAplus,1,engineering,1,engineering,1,0,2,1,1,engineering,1,2,1,software,1,1,1,0
25,4,MAplus,1,engineering,1,engineering,2,0,2,1,1,engineering,1,2,1,cashiers,2,1,1,0
26,4,MAplus,1,engineering,1,engineering,2,0,2,1,1,engineering,1,2,1,cashiers,2,1,1,0
27,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,cashiers,2,1,1,0
28,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,cashiers,2,1,1,0
29,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,cashiers,2,1,1,0
30,4,MAplus,1,engineering,1,engineering,12,0,2,1,1,engineering,1,2,1,cashiers,2,1,1,0
31,4,MAplus,1,engineering,1,engineering,2,0,2,1,1,engineering,1,2,1,scientist,3,1,1,0
32,4,MAplus,1,engineering,1,engineering,2,0,2,1,1,engineering,1,2,1,scientist,3,1,1,0
33,4,MAplus,1,engineering,1,engineering,2,0,2,1,1,engineering,1,2,1,scientist,3,1,1,0
34,4,MAplus,1,engineering,1,engineering,2,0,2,1,1,engineering,1,2,1,scientist,3,1,1,0
