year,education,edtext,degtext,degree,proftext,profession,row,col
2017,0,NoHS,na,0,na,0,1,1
2017,0,NoHS,na,0,na,0,1,2
2017,0,NoHS,na,0,na,0,1,3
2017,0,NoHS,na,0,na,0,1,4
2017,0,NoHS,na,0,na,0,1,5
2017,0,NoHS,na,0,na,0,1,6
2017,0,NoHS,na,0,na,0,1,7
2017,0,NoHS,na,0,na,0,1,8
2017,0,NoHS,na,0,na,0,1,9
2017,0,NoHS,na,0,na,0,1,10
2017,0,NoHS,na,0,na,0,1,11
2017,0,NoHS,na,0,na,0,1,12
2017,0,NoHS,na,0,na,0,1,13
2017,0,NoHS,na,0,na,0,1,14
2017,0,NoHS,na,0,na,0,1,15
2017,0,NoHS,na,0,na,0,1,16
2017,0,NoHS,na,0,na,0,1,17
2017,0,NoHS,na,0,na,0,1,18
2017,0,NoHS,na,0,na,0,1,19
2017,0,NoHS,na,0,na,0,1,20
2017,0,NoHS,na,0,na,0,2,1
2017,0,NoHS,na,0,na,0,2,2
2017,0,NoHS,na,0,na,0,2,3
2017,0,NoHS,na,0,na,0,2,4
2017,0,NoHS,na,0,na,0,2,5
2017,0,NoHS,na,0,na,0,2,6
2017,0,NoHS,na,0,na,0,2,7
2017,0,NoHS,na,0,na,0,2,8
2017,0,NoHS,na,0,na,0,2,9
2017,0,NoHS,na,0,na,0,2,10
2017,0,NoHS,na,0,na,0,2,11
2017,1,HS,na,0,na,0,2,12
2017,1,HS,na,0,na,0,2,13
2017,1,HS,na,0,na,0,2,14
2017,1,HS,na,0,na,0,2,15
2017,1,HS,na,0,na,0,2,16
2017,1,HS,na,0,na,0,2,17
2017,1,HS,na,0,na,0,2,18
2017,1,HS,na,0,na,0,2,19
2017,1,HS,na,0,na,0,2,20
2017,1,HS,na,0,na,0,3,1
2017,1,HS,na,0,na,0,3,2
2017,1,HS,na,0,na,0,3,3
2017,1,HS,na,0,na,0,3,4
2017,1,HS,na,0,na,0,3,5
2017,1,HS,na,0,na,0,3,6
2017,1,HS,na,0,na,0,3,7
2017,1,HS,na,0,na,0,3,8
2017,1,HS,na,0,na,0,3,9
2017,1,HS,na,0,na,0,3,10
2017,1,HS,na,0,na,0,3,11
2017,1,HS,na,0,na,0,3,12
2017,1,HS,na,0,na,0,3,13
2017,1,HS,na,0,na,0,3,14
2017,1,HS,na,0,na,0,3,15
2017,1,HS,na,0,na,0,3,16
2017,1,HS,na,0,na,0,3,17
2017,1,HS,na,0,na,0,3,18
2017,1,HS,na,0,na,0,3,19
2017,1,HS,na,0,na,0,3,20
2017,1,HS,na,0,na,0,4,1
2017,1,HS,na,0,na,0,4,2
2017,1,HS,na,0,na,0,4,3
2017,1,HS,na,0,na,0,4,4
2017,1,HS,na,0,na,0,4,5
2017,1,HS,na,0,na,0,4,6
2017,1,HS,na,0,na,0,4,7
2017,1,HS,na,0,na,0,4,8
2017,1,HS,na,0,na,0,4,9
2017,1,HS,na,0,na,0,4,10
2017,1,HS,na,0,na,0,4,11
2017,1,HS,na,0,na,0,4,12
2017,1,HS,na,0,na,0,4,13
2017,1,HS,na,0,na,0,4,14
2017,1,HS,na,0,na,0,4,15
2017,1,HS,na,0,na,0,4,16
2017,1,HS,na,0,na,0,4,17
2017,1,HS,na,0,na,0,4,18
2017,1,HS,na,0,na,0,4,19
2017,1,HS,na,0,na,0,4,20
2017,1,HS,na,0,na,0,5,1
2017,1,HS,na,0,na,0,5,2
2017,1,HS,na,0,na,0,5,3
2017,1,HS,na,0,na,0,5,4
2017,1,HS,na,0,na,0,5,5
2017,1,HS,na,0,na,0,5,6
2017,1,HS,na,0,na,0,5,7
2017,1,HS,na,0,na,0,5,8
2017,1,HS,na,0,na,0,5,9
2017,1,HS,na,0,na,0,5,10
2017,1,HS,na,0,na,0,5,11
2017,1,HS,na,0,na,0,5,12
2017,1,HS,na,0,na,0,5,13
2017,1,HS,na,0,na,0,5,14
2017,1,HS,na,0,na,0,5,15
2017,1,HS,na,0,na,0,5,16
2017,1,HS,na,0,na,0,5,17
2017,1,HS,na,0,na,0,5,18
2017,1,HS,na,0,na,0,5,19
2017,1,HS,na,0,na,0,5,20
2017,1,HS,na,0,na,0,6,1
2017,1,HS,na,0,na,0,6,2
2017,1,HS,na,0,na,0,6,3
2017,1,HS,na,0,na,0,6,4
2017,1,HS,na,0,na,0,6,5
2017,1,HS,na,0,na,0,6,6
2017,1,HS,na,0,na,0,6,7
2017,1,HS,na,0,na,0,6,8
2017,1,HS,na,0,na,0,6,9
2017,1,HS,na,0,na,0,6,10
2017,1,HS,na,0,na,0,6,11
2017,1,HS,na,0,postsecondary,1,6,12
2017,1,HS,na,0,postsecondary,1,6,13
2017,2,SomeC,na,0,postsecondary,1,6,14
2017,2,SomeC,na,0,postsecondary,1,6,15
2017,2,SomeC,na,0,postsecondary,1,6,16
2017,2,SomeC,na,0,postsecondary,1,6,17
2017,2,SomeC,na,0,postsecondary,1,6,18
2017,2,SomeC,na,0,postsecondary,1,6,19
2017,2,SomeC,na,0,postsecondary,1,6,20
2017,2,SomeC,na,0,postsecondary,1,7,1
2017,2,SomeC,na,0,postsecondary,1,7,2
2017,2,SomeC,na,0,postsecondary,1,7,3
2017,2,SomeC,na,0,postsecondary,1,7,4
2017,2,SomeC,na,0,postsecondary,1,7,5
2017,2,SomeC,na,0,postsecondary,1,7,6
2017,2,SomeC,na,0,postsecondary,1,7,7
2017,2,SomeC,na,0,postsecondary,1,7,8
